
Lista de Imoveis da Caixa;;Data de geracao:;26/06/2026;;;;;;
N do imovel;UF;Cidade;Bairro;Endereco;Preco;Valor de avaliacao;Desconto;Financiamento;Descricao;Modalidade de venda;Link de acesso
8444430946733;SC;CRICIUMA;PROSPERA;RUA LEONCIO BITENCOURT, N. 1477, Apto 201, BL C;106667.03;180000;40.75;Nao;Apartamento, 75.22 de área total, 67.92 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430946733
1444418997198;SC;CRICIUMA;VILA FLORESTA II;RUA CLAUDENIR ANTONIO BONIFACIO, N. SN, LT 15, QD D;71789.15;120000;40.18;Nao;Terreno, 0.00 de área total, 0.00 de área privativa, 360.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418997198
8787708880413;SC;CRICIUMA;BRASILIA;RUA SALVADOR, N. 255, Apto 103, BL 04;111876.94;185100;39.56;Nao;Apartamento, 63.41 de área total, 54.17 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708880413
8444424985030;SC;CRICIUMA;SAO SEBASTIAO;RUA BRIGIDA FIGUEREDO, N. SN, CASA 20;114838.57;190000;39.56;Nao;Casa, 55.00 de área total, 55.00 de área privativa, 325.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424985030
8787719212786;SC;CRICIUMA;ANA MARIA;RUA VERGINIO CONTI, N. SN, Apto 302, BL 05;240000;240000;0;Nao;Apartamento, 45.91 de área total, 45.91 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787719212786
8787712779420;SC;CRICIUMA;SAO FRANCISCO;AVENIDA DOS ITALIANOS, N. SN, Apto 604, BL 03, VAGA N 115;265000;265000;0;Nao;Apartamento, 69.44 de área total, 45.34 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712779420
8787711492887;SC;CRICIUMA;VILA ZULEIMA;RUA FELIPE COLOMBO, N. SN, Apto 304, BL 06;225000;225000;0;Nao;Apartamento, 50.07 de área total, 43.12 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711492887
1444400960136;SC;CRICIUMA;CENTRO;RUA PALAMEDE MILIOLI, N. 315, Apto 701, PAV 7;425000;425000;0;Nao;Apartamento, 121.32 de área total, 76.84 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444400960136
8787705988965;SC;CRICIUMA;LINHA BATISTA;RUA DAS ORQUIDEAS, N. 520, Apto 303, BL 10;210000;210000;0;Nao;Apartamento, 59.82 de área total, 52.77 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705988965
8444437885268;SC;CRICIUMA;CENTRO;AVENIDA CENTENARIO, N. 2728, Apto 703, BL 02;142206.84;137952.53;0;Nao;Apartamento, 34.71 de área total, 25.76 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444437885268
8444429558776;SC;CRICIUMA;MONTE CASTELO;RUA BEIJA-FLOR RUBI, N. 60, LT 04 QD 07;283849.7;270000;0;Nao;Casa, 100.00 de área total, 100.00 de área privativa, 387.54 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429558776
8444402334443;SC;CURITIBANOS;GETULIO VARGAS;RUA  AURACELIA ANDRADE LEMOS, N. 723, LT 17 QD 06A;123904.77;205000;39.56;Nao;Casa, 61.13 de área total, 61.13 de área privativa, 300.00 de área do terreno,  1 qto(s).;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402334443
10286366;SC;DIONISIO CERQUEIRA;CENTRO;ESTRADA MUNICIPAL, N. 00, Apto 01, QD 04, LT 170D, UND1;89739.5;147000;38.96;Nao;Apartamento, 0.00 de área total, 228.65 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10286366
10286370;SC;DIONISIO CERQUEIRA;CENTRO;ESTRADA MUNICIPAL, N. 00, QD 04, LT 170D, UND2;101904.73;165000;38.24;Nao;Sala, 0.00 de área total, 197.36 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10286370
1444406382665;SC;FLORIANOPOLIS;CAPOEIRAS;RUA WALDEMAR OURIQUES, N. 330, Apto 204, VAGA DE GARAGEM DE N. 23;470000;470000;0;Sim;Apartamento, 0.00 de área total, 73.47 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406382665
