
Lista de Imoveis da Caixa;;Data de geracao:;25/06/2026;;;;;;
N do imovel;UF;Cidade;Bairro;Endereco;Preco;Valor de avaliacao;Desconto;Financiamento;Descricao;Modalidade de venda;Link de acesso
8444436609666;RS;ALVORADA;UMBU;RUA TRINTA E DOIS, N. 119, Apto 202,;102409.27;86500;0;Nao;Apartamento, 42.84 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), WC Emp, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444436609666
8044500518845;RS;ALVORADA;PASSO DORNELES;ESTRADA CAMINHO DO MEIO, N. 5425, CS 71 QD E;270000;222000;0;Nao;Casa, 0.00 de área total, 46.72 de área privativa, 150.22 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8044500518845
8444437760848;RS;ALVORADA;MARIA REGINA;RUA CAMPO VERDE, N. 709, Apto 302, LT 23 QD 32;182462.3;150000;0;Nao;Apartamento, 47.90 de área total, 42.87 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444437760848
8444434537331;RS;ARARICA;AZALEIA;RUA DOM JOÃO VI, N. SN, QD 14 SETOR 104 LT 1;115000;115000;0;Nao;Terreno, 0.00 de área total, 0.00 de área privativa, 442.75 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444434537331
1444417079314;RS;ARROIO DO MEIO;BARRA DO FORQUETA;RUA SAO CRISTOVAO, N. 191, LT 16, QD A, ZN 04;384779.75;659000;4162;Nao;Terreno, 0.00 de área total, 0.00 de área privativa, 968.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417079314
10275553;RS;ARVOREZINHA;CENTRO;RUA ARCÂNGELO FORNARI, N. 00, QD 239, LT 03;998671.51;1567000;3627;Nao;Gleba Urbana, 0.00 de área total, 0.00 de área privativa, 4725.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10275553
1444421368716;RS;ARVOREZINHA;CENTRO;RUA LUIZ DORIGONI FILHO, N. 0, LT 50, QD 2-B;955971.45;1500000;3627;Nao;Terreno, 0.00 de área total, 0.00 de área privativa, 1870.70 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444421368716
10143308;RS;BAGE;INDUSTRIAL I;RUA JOSE LUIZ MACHADO, N. S/N, QD 64 PARTE DOS LTS 11 E 12;26814.54;68000;6057;Nao;Casa, 0.00 de área total, 54.00 de área privativa, 300.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10143308
10163893;RS;BAGE;CASTRO ALVES;RUA PROFESSORA ANGELICA JARDIM, N. 46, USO MISTO, LT 27, QD 28;345951.45;790000;5621;Nao;Galpão, 0.00 de área total, 327.56 de área privativa, 500.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10163893
10143309;RS;BAGE;INDUSTRIAL I;RUA JOSE LUIZ MACHADO, N. S/N, QD 64 PARTES DOS LTS 11 E 12;30593.55;66500;5400;Nao;Terreno, 0.00 de área total, 0.00 de área privativa, 300.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10143309
10176581;RS;BAGE;CENTRO;RUA FABRICIO PILAR, N. 486, QD 01, LT 07;70646.88;135000;4767;Nao;Casa, 0.00 de área total, 48.00 de área privativa, 300.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10176581
8444419688901;RS;BAGE;São Bernardo;RUA C, N. 1441, LT 11, QD 03;65921.81;115000;4268;Nao;Terreno, 42.58 de área total, 0.00 de área privativa, 200.20 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419688901
8045600163206;RS;BAGE;TIARAJU;RUA TOMAS GONZAGA, N. 215, LT 15 E 17 QD 16;159328.58;250000;3627;Nao;Casa, 125.76 de área total, 121.00 de área privativa, 400.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8045600163206
10222098;RS;BARAO;CENTRO;RUA BUARQUE DE MACEDO, N. SN, LT 03;608635.16;955000;3627;Nao;Terreno, 0.00 de área total, 0.00 de área privativa, 4548.35 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10222098
10280461;RS;BENTO GONCALVES;UNIVERSITARIO;RUA CAETANO DA ROLT, N. 665, QD I, LTS 110 A 114;2800996.35;4395000;3627;Nao;Galpão, 0.00 de área total, 1965.37 de área privativa, 2139.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10280461
8444432227092;RS;BENTO GONCALVES;SAO ROQUE;RUA VIRGILIO ROMAN ROSS, N. 65, LT 33 QD B;339343.6;130000;0;Nao;Terreno, 0.00 de área total, 0.00 de área privativa, 200.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444432227092
8444405056320;RS;CACAPAVA DO SUL;CENTRO;RUA MOZART RODRIGUES BRITES, N. 167, LT 14 SETOR 11 QD 138;45444.03;75000;3941;Nao;Casa, 37.80 de área total, 37.80 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405056320
10289429;RS;CACAPAVA DO SUL;Centro;RUA XV DE NOVEMBRO, N. 748, QD 48, LT 05, ST 01;1336000;1336000;0;Nao;Terreno, 0.00 de área total, 0.00 de área privativa, 350.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10289429
10238939;RS;CACHOEIRA DO SUL;SOARES;RUA DUQUE DE CAXIAS, N. 1373, CASA;1056348.45;1700000;3787;Nao;Casa, 0.00 de área total, 300.80 de área privativa, 2299.09 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10238939
1444407896565;RS;CACHOEIRINHA;PARQUE DA MATRIZ;RUA CONCORDIA, N. 1591, LT 29 QD A-5;312443.33;530000;4105;Nao;Casa, 137.50 de área total, 92.00 de área privativa, 229.49 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407896565
8787710202664;RS;CACHOEIRINHA;MEU RINCAO;RUA F, N. 131, CS 79;96889.22;163500;4075;Nao;Casa, 83.93 de área total, 39.27 de área privativa, 95.40 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710202664
8444412003660;RS;CACHOEIRINHA;PARQUE DA MATRIZ;RUA PETROPOLIS, N. 288, Apto 03, 03, LT 22, QD B8,;54353.48;90000;3961;Nao;Apartamento, 31.75 de área total, 30.49 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412003660
1555505640320;RS;CACHOEIRINHA;VILA IMBUI;RUA RUI RAMOS, N. 66, Apto 503, 5º ANDAR, LOT JARDIM MAUÁ;427000.58;670000;3627;Nao;Apartamento, 193.79 de área total, 171.86 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555505640320
8444416628215;RS;CACHOEIRINHA;CHACARA DAS ROSAS;AVENIDA FLORES DO CAMPO, N. 967, CASA 2;183000;183000;0;Nao;Casa, 45.00 de área total, 45.00 de área privativa, 85.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416628215
8555521816362;RS;CACHOEIRINHA;JARDIM BETANIA;AVENIDA DA FEDERACAO, N. 685, Apto 223, BL F PAV 2 ANDAR 2;140000;140000;0;Nao;Apartamento, 47.62 de área total, 43.20 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555521816362
8787700179392;RS;CACHOEIRINHA;CHACARA DAS ROSAS II;RUA ROSA VERMELHA (ANTIGA RUA 04), N. 158, CS 01;160000;160000;0;Nao;Casa, 29.80 de área total, 29.80 de área privativa, 94.01 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787700179392
